customer_id,registration_date,email,first_name,last_name,age,gender,city,province,country,postal_code,customer_segment,marketing_consent
CUST000000,2022-07-18,linda.johnson105@yahoo.com,Linda,Johnson,56.0,F,Barrie,BC,Canada,S6B 0C3,Bronze,False
CUST000001,2024-05-17,joseph.allen666@email.com,Joseph,Allen,38.0,M,Barrie,NS,Canada,H7S 4Z0,Bronze,True
CUST000002,2022-11-28,david_ramirez782@yahoo.com,David,Ramirez,41.0,M,London,BC,Canada,C6D 5L9,Bronze,True
CUST000003,2023-07-30,thomaswilliams@gmail.com,Thomas,Williams,70.0,Other,Halifax,BC,Canada,R4U 9L9,Silver,True
CUST000004,2021-04-04,richardjones@yahoo.com,Richard,Jones,38.0,F,Montreal,AB,Canada,D6I 7U5,Silver,True
CUST000005,2022-12-29,david.white@hotmail.com,David,White,42.0,M,Montreal,PE,Canada,U2R 3F7,Silver,True
CUST000006,2024-08-03,matthewmoore333@email.com,Matthew,Moore,45.0,Other,Vancouver,AB,Canada,B5M 4C3,Bronze,True
CUST000007,2022-03-12,andrewlee@outlook.com,Andrew,Lee,68.0,M,Saskatoon,QC,Canada,I2H 8R4,Gold,True
CUST000008,2024-04-10,donna_ramirez142@hotmail.com,Donna,Ramirez,54.0,F,St. John's,NB,Canada,C0D 2U2,Bronze,True
CUST000009,2021-05-11,margaret_hill@outlook.com,Margaret,Hill,21.0,F,Saskatoon,NL,Canada,I8A 1V8,Bronze,True
CUST000010,2021-08-17,sarah_perez4@outlook.com,Sarah,Perez,43.0,M,Hamilton,NL,Canada,Y2Q 1U4,Silver,True
CUST000011,2022-02-12,steven.hill@hotmail.com,Steven,Hill,24.0,F,Barrie,NL,Canada,A9K 7A1,Silver,True
CUST000012,2022-05-06,lisa.martin@yahoo.com,Lisa,Martin,34.0,M,Montreal,BC,Canada,X7C 8Y2,Silver,True
CUST000013,2024-01-31,william.walker@hotmail.com,William,Walker,23.0,M,Abbotsford,NS,Canada,G8Y 3W4,Bronze,True
CUST000014,2023-06-17,bettywhite231@outlook.com,Betty,White,35.0,F,Montreal,SK,Canada,A9R 3S3,Gold,False
CUST000015,2024-12-20,jamesjones928@gmail.com,James,Jones,31.0,F,Vancouver,SK,Canada,C8H 4V7,Bronze,True
CUST000016,2021-09-28,susanwright@email.com,Susan,Wright,74.0,Other,Quebec City,NB,Canada,Z6G 1D6,Silver,False
CUST000017,2023-04-22,daniel_ramirez@gmail.com,Daniel,Ramirez,64.0,F,Calgary,ON,Canada,M5Z 1H3,Bronze,True
CUST000018,2023-07-08,richard.wright474@outlook.com,Richard,Wright,62.0,M,Quebec City,BC,Canada,O8D 0U8,Silver,True
CUST000019,2022-04-30,james.garcia@outlook.com,James,Garcia,24.0,M,Winnipeg,NS,Canada,B2M 0M4,Bronze,True
CUST000020,2023-05-17,sandrajackson@email.com,Sandra,Jackson,28.0,M,Regina,QC,Canada,G4G 0S8,Silver,False
CUST000021,2021-04-28,patricia.lee@email.com,Patricia,Lee,22.0,F,St. John's,QC,Canada,B8C 2C9,Silver,False
CUST000022,2023-04-07,robert.thomas609@email.com,Robert,Thomas,26.0,F,Vancouver,PE,Canada,C6V 9S8,Bronze,True
CUST000023,2022-02-23,christophertaylor406@hotmail.com,Christopher,Taylor,40.0,F,Ottawa,MB,Canada,O5Y 1A7,Silver,True
CUST000024,2021-07-24,michelle.torres272@email.com,Michelle,Torres,39.0,F,Ottawa,SK,Canada,C3L 4F7,Bronze,True
CUST000025,2024-06-06,paulmartin837@email.com,Paul,Martin,31.0,F,Barrie,MB,Canada,V1E 4D1,Silver,True
CUST000026,2022-07-12,emily_martinez352@email.com,Emily,Martinez,31.0,F,Winnipeg,MB,Canada,Q7I 0C6,Bronze,True
CUST000027,2021-01-08,sarah_williams@yahoo.com,Sarah,Williams,59.0,M,Hamilton,QC,Canada,X7R 6R0,Bronze,False
CUST000028,2024-11-16,linda.jones379@email.com,Linda,Jones,66.0,M,Kelowna,NL,Canada,E6E 0J5,Bronze,False
CUST000029,2022-03-07,johnthompson@yahoo.com,John,Thompson,40.0,F,Victoria,NL,Canada,N9X 2H2,Bronze,True
CUST000030,2021-02-20,elizabeth.clark@hotmail.com,Elizabeth,Clark,30.0,M,Windsor,AB,Canada,I2Z 1M0,Bronze,True
CUST000031,2022-02-13,donald_anderson@hotmail.com,Donald,Anderson,19.0,F,Quebec City,AB,Canada,A3M 5I1,Bronze,True
CUST000032,2024-08-06,sarahthompson@outlook.com,Sarah,Thompson,45.0,F,Barrie,SK,Canada,A1I 2S4,Bronze,False
CUST000033,2024-05-06,john_miller@hotmail.com,John,Miller,28.0,M,London,NS,Canada,T8D 6S3,Bronze,True
CUST000034,2024-12-22,thomas_williams@gmail.com,Thomas,Williams,50.0,M,Barrie,AB,Canada,L6C 5T5,Silver,True
CUST000035,2023-11-05,linda_martin@outlook.com,Linda,Martin,30.0,F,Kitchener,NL,Canada,E3N 6V2,Bronze,True
CUST000036,2022-09-09,michelle_torres@email.com,Michelle,Torres,26.0,F,Kitchener,MB,Canada,G6Z 9T5,Silver,True
